SMILES,Chemprop-Activation-Energy,Bulk_Tani_Similarity
CN1CCN(C)CCN(C2CCCCC2N(C)C2C=CC=CN2)CC1,7.8758287,0.28571429
CNC1CCCCC1N1CCN(C)CCN(C)CC1,7.875267,0.33333333
CC1C=CC(C)(C)C(C)(N(C)C2CCCCC2)C1Cl,7.8746076,0.17187500
CN1CCN(C)CCN(C2CCC(N(C)CF)CC2)CC1,7.874234,0.28571429
CN(Cc1cccc(Cl)n1)C1CCCCC1N(C)C1CCC(N(C)C2CCCCC2N(C)C2CCCCC2N(C)C2CCCCC2N(C)C2C=CC=CN2)CC1,7.873117,0.46428571
CN1CCNCCN(O)CC1,7.872891,0.40000000
CC(C)N1CCCC1C1CCCN1,7.8728247,0.23529412
c1ccc2c(c1)OCCOCCOCCOCCOCCO2,7.872365,0.29787234
NC1COC2C=CC=CC2OCCOC=COCCOCCO1,7.872101,0.12121212
CN(Cc1ccccn1)C1C=CC2(C)OCCOCCOCCOCCOCCOC2C1,7.8717475,0.41818182
CC1C2OCCOCCOCCOCCOCCOC2C1N(C)Cc1ccccn1,7.8717346,0.48936170
CN(C)C1CCCCC1N(C)C1(C)CCC1(C)C,7.8709497,0.22222222
CN1CCN(C)CCN(C2CCC(N(C)C3C=CC=CN3)CC2)CC1,7.8707075,0.27272727
CN1CCN(C)CCN(CCF)CC1,7.870657,0.47058824
CN1CCN(C)CCN(CC2CCCN2C)CC1,7.8704677,0.34482759
COC1COC(OC)COCCOCCOCCOC=CO1,7.8704586,0.12121212
CCN1CCCC1CN1CCN(C)CCN(C)CC1,7.870188,0.29629630
CNCCN(Cc1ccccn1)C(C)(N)C12CCC1OCCOCCOCCOCCOCCO2,7.87006,0.32812500
CC(N)C(C)N(C)C1CCCCC1N(C)C(C)C,7.8697376,0.28888889
CC(C)N1CCN(C)CCN(C2CCC(N3CCN(C)CCN(C)CC3)CC2)CC1,7.869416,0.34782609
CC(C)N1CCN(C)CCN(CNCF)CC1,7.868408,0.31111111
CC(C)N(C)C1CCC(N2CCN(C)CCN(C)CC2)CC1,7.8678513,0.29629630
CNC1OCCOCCOCCOCCOCCOC1c1cc(CF)ccn1,7.86762,0.20967742
CN(CCN(C)C1(C)CC2OCCOCCOCCOCCOCCOC21)C1CCCC(N(C)Cc2ccccn2)C1,7.8675337,0.40983607
CNC1CCCCC1N(C)C(C)C,7.8674426,0.26086957
c1cnnc(CNC2CCCCC2)c1,7.867365,0.37500000
CNCCN(Cc1ccccn1)C1COCCOCCOC(C)COCCOCCO1,7.8673,0.33898305
CC(C)N(C)C1CCCC(N2CCN(C)CCN(C)CC2)C1,7.8672147,0.26666667
CC1CCC1N,7.866974,0.11111111
CC(C)N1CCN(C)CCN(CF)CC1,7.8666344,0.35000000
CC1C=CCCC1(C)C,7.865984,0.12727273
CC(C)N(C)C1CCCCC1N(C)C(C)C,7.8656588,0.34210526
CC1CNCCNCCN(C)C1,7.8656397,0.24000000
C=CCN1CCN(C)CCN(C)CC1,7.865624,0.42105263
CC1CCC1CN(Cc1ccccn1)C1CCCCC1,7.86526,0.50000000
CN1CCCNCCNC(C)(C)C1,7.864578,0.30769231
CN(C1C=CC=CN1)C1CCCCC1N(O)CCl,7.8644423,0.22413793
CC(N)C(C)N(C)C1CCCC(N(C)C(C)C)C1,7.864263,0.18000000
FCN(Cc1cccnn1)C1CCCCC1,7.8633647,0.47500000
CC(N)C(C)(C)C,7.8633256,0.10344828
CNCCCN1CCN(C)CCN(C)CC1,7.863254,0.38095238
CCCCN1CCN(C)CCN(C)CC1,7.863211,0.44444444
CN1CCCNC2N=CC=CC2N(C)CC1,7.8627706,0.28947368
CCNCCN1CCN(C)CCN(C)CC1,7.862681,0.38095238
CC1C=CCC(N)C1C,7.862594,0.10416667
CC1CCC1,7.8625436,0.14705882
CN1CCN(C)CCN(CCc2ccc3c(c2)OCCOCCOCCOCCOCCO3)CC1,7.8622956,0.33898305
CN1CCN(C)CCN(Cc2cccc3c2OCCOCCOCCOCCOCCO3)CC1,7.8622456,0.38297872
CC(C)N1CCCC1C1CCCN1C1C=CC=CN1,7.862139,0.24561404
CN1CCN(C)CCN(CCl)CC1,7.862103,0.50000000
C#CCN(C)CCN(C)Cc1cccc2c1OCCOCCOCCOCCOCCO2,7.8616695,0.32075472
CN1CCN(C)CCN(C2C=CC=CN2)CC1,7.8615055,0.32000000
C1=CNC2(NCc3ccccn3)OCCOCCOCCOCCOCCOC2=C1,7.8614054,0.34000000
CC(C)N(C)C1CCCCC1N(C)C,7.861405,0.31707317
CNC1COCCOCCOCCOCCOCC(c2cc(CF)ccn2)O1,7.8612514,0.22222222
CN(CC1=CCC=CN1)C1CCCCC1,7.8612328,0.39583333
CC(C)N1CCN(C)CCN(Cc2cncc(C3(C)CC4OCCOCCOCCOCCOCCOC43)c2)CC1,7.861046,0.28358209
CNCCN1CCN(C)CCN(C)CC1,7.8606052,0.42105263
CC(C)N1CCN(C)CCN(C(C)N2CCN(C)CCN(C)CC2)CC1,7.8605685,0.44444444
C1=CCNC=C1,7.860322,0.11363636
CNC1CCCC(N(C)C(C)C)C1,7.860283,0.18000000
CN1CCN(C)CCN(Cc2ccc3c(c2)OCCOCCOCCOCCOCCO3)CC1,7.8602214,0.36842105
CN1CCNCC2N=CC=CC2N(C)CC1,7.8601646,0.23636364
CN1CCNCC2C=CC=NC2N(C)CC1,7.8598833,0.23529412
Cc1cccc2c1OCCOCCOCCOCCOCCO2,7.8598614,0.23214286
CC(C)N(C)C1CCCC(N(C)C(C)C)C1,7.859818,0.20930233
CC(C)N1CCCC1CN1CCN(C)CCN(C)CC1,7.85962,0.28571429
CC(C)N1CCN(Cc2cccc(C3(C)CC4OCCOCCOCCOCCOCCOC43)n2)CCN(C(C)C)CC1,7.8593736,0.41379310
CCCN(Cc1cccnn1)C1CCCCC1,7.859287,0.48780488
Cc1ccc2c(c1)OCCOCCOCCOCCOCCO2,7.8592105,0.34000000
NC1COCCOCCOc2ccccc2OCCOCCO1,7.858976,0.26315789
CC(N)C(C)N1CCN(C)CCN(C(C)C)CC1,7.858674,0.36363636
CCNCc1cccc2c1OCCOCCOCCOCCOCCO2,7.858657,0.22222222
CNCc1cccc2c1OCCOCCOCCOCCOCCO2,7.8585773,0.23333333
CSC12C=CC=NC1N(C)CCCNCCN2,7.8583646,0.20000000
CCCNCc1ccc2c(c1)OCCOCCOCCOCCOCCO2,7.8582835,0.30508475
CCN1CCN(C)CCN(C(C)C)CC1,7.8579154,0.36363636
CN1CCN(C)CCN(CCCN(C)C(C)(C)C)CC1,7.857798,0.32000000
CCNCc1ccc2c(c1)OCCOCCOCCOCCOCCO2,7.857744,0.31578947
CN(C1CCCCC1N(Cc1cccc(F)n1)Cc1ncccc1F)C1CCCCC1N(C)C1CCCCC1N(C)C1CCCCC1N(C)C1CCCCC1N(C)C1CCCCC1N(C)C1CCCCC1N(Cc1ncccc1F)C1CCCCC1N(Cc1ccccn1)Cc1cccc(F)n1,7.8576164,0.44827586
C1=NCCC=C1CN(Cc1cccnn1)C1CCCCC1,7.8571744,0.36000000
CNCc1ccc2c(c1)OCCOCCOCCOCCOCCO2,7.856907,0.32727273
CCNC,7.856661,0.12500000
CNC1COc2ccccc2OCCOCCOCCOCCO1,7.856602,0.25000000
CN(CCF)C1CCCCC1N(C)CC(C)(C)C,7.8564816,0.29545455
CC1([SiH3])CCC1,7.856332,0.13043478
CC1=C(C)C(N(C)Cc2ccccn2)C2(C)OCCOCCOCCOCCOCCOC2(C)C1C,7.8559585,0.43396226
CC(N)C(C)N(C)CCN1CCN(C)CCN(C(C)C)CC1,7.855834,0.28571429
CC(C)N(C)C1CC(CN2CCN(C)CCN(C)CC2)N(C)C1,7.855834,0.26415094
CC(C)C(C)N,7.855803,0.11428571
CN1CCN(C)CCN(CCC2=CCC=CN2)CC1,7.8557773,0.41860465
C=CCN(C)CCN(C)Cc1ccc(C2CC3OCCOCCOCCOCCOCCOC32)nc1,7.855483,0.27118644
CN(C)Cc1cccc(C2CC3OCCOCCOCCOCCOCCOC32)n1,7.8554716,0.31481481
CC(C)N(C(C)C)C1CCCCC1N(C)C1CCCCC1N(C)C,7.8554363,0.24444444
CC1(C)CCC1,7.855355,0.14285714
CNCN1CCN(C)CCN(C(C)C)CC1,7.8553495,0.33333333
CCN(Cc1cccnn1)C1CCCCC1,7.8549705,0.47500000
CN1CCN(Cc2cccc(-c3ccc4c(c3)OCCOCCOCCOCCOCCO4)n2)CCN(C2COCCOCCOCCOCCOC=CO2)CC1,7.854904,0.35820896
CN1CCN(C)CCN(CC(C)(C)C)CC1,7.854742,0.44444444
CN1CCN(C)CCN(CCN(C)C(C)(C)C)CC1,7.854688,0.34782609
CC1OCCOCCOCCOCCOc2ccccc2OC1N,7.8545327,0.24590164
CC1C(N)CC1(C)C,7.8542747,0.10526316
CC(C)N(C)CCN1CCN(C)CCN(CC(C)(C)C)CC1,7.8540783,0.26666667
CNCN1CCN(C(C)C)CCN(C(C)C)CC1,7.854017,0.36842105
CC(C)N(C)CCCN1CCN(C)CCN(C)CC1,7.853973,0.32000000
CNC1CCC(N(Cc2ccccn2)Cc2cccc(C3CC4OCCOCCOCCOCCOCCOC43)n2)CC1,7.853888,0.33333333
CN(CCN)C1CCCC(N(C)CC(C)(C)C)C1,7.8537645,0.18750000
CC(N)N1CCN(C)CCN(C)CC1,7.8535786,0.47058824
CCN(Cc1ccccn1)C1CCCCC1N(C)Cc1cc(C2CC3OCCOCCOCCOCCOCCOC32)ccn1,7.853546,0.50000000
CN(CCF)CCN(C)Cc1cccc2c1OCCOCCOCCOCCOCCO2,7.8535175,0.33333333
CN1CCNCC2(CCCC(C)(C)C2)N(C)C2(CCCC(C)(C)C2)C1,7.853347,0.17142857
CN1CCN(C)CCN(CCCN=Cc2ccccn2)CC1,7.8529797,0.47727273
CC1CC(N)C1(C)C,7.8529544,0.15686275
CN(CF)C1CCCC(N(C)CC2=CCC=CN2)C1,7.85292,0.35849057
CN(Cc1cccnc1)C1CCC(N(C)CC2(C)CCC2)CC1,7.8528504,0.29629630
CC(C)N(C)CCN(Cc1cccnn1)C1CCCCC1,7.852836,0.46666667
CC1=CCCC2(CC=CC(C)C2)C1,7.8528,0.11111111
CN1CCN(C)CCN(C2CCC(N(C)C3=CCC=CN3)CC2)CC1,7.852767,0.28571429
CC(C)N1CCNCCN(C(C)c2ccccn2)CC1,7.8527565,0.47727273
CC(C)C(C)N(C)CCN1CCN(C)CCN(CC(C)(C)C)CC1,7.852648,0.25000000
CC(C)N(C)C1CCCC(N(C)C)C1,7.852516,0.19565217
C1=COCCOc2ccccc2OCCOCCOCCO1,7.8525157,0.26923077
CN1CCN(C)CCN(C2CCCCC2N(C)c2cccc(F)c2)CC1,7.8524904,0.32758621
CN1CCN(C)CCN(C2NC=CC=C2F)CC1,7.852438,0.27586207
CC(C)C(C)C1CCC1(C)C,7.8523793,0.12244898
CN1CCCN(C)CCC2=CC=CC(C=NCC1)N2C,7.8522615,0.28260870
CC(N)c1ccc2c(c1)OCCOCCOCCOCCOCCO2,7.8520064,0.30909091
CC1=CCCC(C)C1C,7.852005,0.16279070
CN(CCF)CCN(C)Cc1ccc2c(c1)OCCOCCOCCOCCOCCO2,7.851733,0.32608696
CCNCN(C)CCN1CCN(C)CCN(C)CC1,7.8516607,0.30769231
C1=CC(CN(Cc2ccccn2)C2CCCCC2)C=CN1,7.8516264,0.45833333
CC(C)N1CCN(C)CCN(C(C)c2ccccc2)CC1,7.851625,0.38095238
CC(C)N(C)CCN1CCN(C)CCN(C)CC1,7.851393,0.34782609
CNC1OCCOCCOCCOCCOCCOC1c1cccc(C(C)(C)C)n1,7.851321,0.23333333
CN1CCN(C)CCN(C2CCC(N(C)Cc3cc(CF)ccn3)CC2)CC1,7.851312,0.34545455
CN(C)CCN1CCN(C)CCN(CC(C)(C)C)CC1,7.8512893,0.30769231
C1=COc2ccccc2OCCOCCOCCOCCO1,7.851241,0.25454545
CN1CCN(C)CCN(C2CCC(N(C)C3CCCCC3N(C)c3ccc(Cl)cn3)CC2)CC1,7.851237,0.27868852
CC(C)N1CCN(C)CCN(C(C)N)CC1,7.8511086,0.40000000
CCF,7.851037,0.11111111
CN1CCNCCNC(SCc2ccccn2)CC1,7.851026,0.42857143
CN1CCN(C)CCN(Cc2cccnc2)CC1,7.850929,0.50000000
Cc1ccc2c(c1C)OCCOCCOCCOCCOCCO2,7.8508754,0.25454545
CC(C)N(C)CCN(C)Cc1cccc2c1OCCOCCOCCOCCOCCO2,7.8508544,0.32692308
CN1CCN(C)CCN(CCc2ccccc2N)CC1,7.850826,0.40000000
CNc1ccc2c(c1)OCCOCCOCCOCCOCCO2,7.850824,0.32075472
CN1CCN(C)CCN(Cc2ccncc2CN2CCN(C)CCN(C)CC2)CC1,7.8506904,0.47368421
CN(Cc1ccccn1)C1CCC(N(C)Cc2cccc(C3CC4OCCOCCOCCOCCOCCOC43)n2)CC1,7.8505335,0.42105263
CCOC(=O)C(=O)N1CCN(C)CCN(C(=O)C(C)N2CCN(C)CCN(C(C)C(C)N3CCN(C)CCN(C(C)C)CC3)CC2)CC1,7.8503947,0.26562500
CN1CCN(C)CCN(CCc2ccc(N)cc2)CC1,7.850333,0.35000000
CN(C)CCCN1CCN(C)CCN(C)CC1,7.8502755,0.38095238
CN(CCN(C)Cc1ccc2c(c1)OCCOCCOCCOCCOCCO2)Cc1ccc2c(c1)OCCOCCOCCOCCOCCO2,7.849983,0.34146341
C=CCN(C)CCN(C)Cc1ccc2c(c1)OCCOCCOCCOCCOCCO2,7.8499274,0.28571429
CC1C=CCC(C)C1C,7.8498073,0.10869565
CC(C)N1CCN(C)CCN(CC2=CCC=CN2)CC1,7.849807,0.46666667
COC(C)N1CCN(C)CCN(C(C)C)CC1,7.849776,0.36363636
CC(C)N(C)CCN1CCN(C)CCN(C(C)C)CC1,7.8497577,0.31111111
CNCN1CCN(C)CCN(Cc2cncc(C)c2)CC1,7.8497543,0.41304348
CCCN(Cc1ccccn1)C1CCC(N(C)CCF)CC1,7.84975,0.47916667
CN1CCN(C)CCN(CC2CC(N(C)C)CN2C)CC1,7.8496075,0.31250000
CNC1OCCOCCOCCOCCOc2ccccc2OC1N,7.849607,0.23437500
CN1CCN(C)CCN(C2CCC(N(C)c3cccc(F)c3)CC2)CC1,7.849474,0.28846154
CN1CCN(C)CCN(Cc2cncc(CN3CCN(C)CCN(C)CC3)c2)CC1,7.8494573,0.45945946
CNCCN1CCN(C)CCN(Cc2ncccc2C)CC1,7.849212,0.46666667
CN1CCN(C)CCN(CCCN(C)CC(C)(C)C)CC1,7.849008,0.30769231
CNCN1CCN(C)CCN(Cc2cccnc2C)CC1,7.849003,0.47727273
CC(C)N(Cc1ccccn1)C1CCCC(N(C)C2CCCC(N(C)C)C2)C1,7.848935,0.47916667
CC(C)N(C)CCN(C)Cc1ccc2c(c1)OCCOCCOCCOCCOCCO2,7.848878,0.29166667
CC(C)C(C)N(C)CCN(C)Cc1ccc2c(c1)OCCOCCOCCOCCOCCO2,7.848843,0.28000000
CC(C)N(C)CN1CCN(C)CCN(C(C)C)CC1,7.8488345,0.31818182
Cc1cccc2c1OCCOCCOCCOCCOC(N)CO2,7.848787,0.19696970
CNCN1CCN(C)CCN(Cc2ccc(C)cn2)CC1,7.848698,0.50000000
CC(C)N1CCN(C(C)C)CCN(C(C)N)CC1,7.848619,0.30555556
CN1CC=NCCN(C)CCC2C=CC=C(CC1)N2C,7.8485785,0.21153846
CN(CN)CN,7.8485255,0.17241379
CN1CC2(CCCCC2)NCC2(CCC(c3ccccc3)(c3ccccn3)CC2)NCC12CCCCC2,7.8484955,0.23611111
Cc1ccc2c(c1)OCCOCCOCCOCCOC(N)CO2,7.8484035,0.30000000
CC(N)N(Cc1cccnn1)C1CCCCC1,7.848403,0.44186047
Cc1ccc2c(c1)OCC(N)OCCOCCOCCOCCO2,7.848362,0.30000000
CNCN1CCN(C)CCN(Cc2ncccc2C)CC1,7.8482714,0.47727273
CN(Cc1ncccc1CF)C1CCCCC1,7.8481045,0.40425532
CC(C)N(C)CCN(C)C1CCC(N(C)C(C)C)CC1,7.848081,0.17021277
Cc1cncc(CN(C)C2CCCC(N3CCN(C)CCN(C)CC3)C2)c1,7.8480268,0.27118644
Cc1cccc2c1OCCOCCOC(N)COCCOCCO2,7.847998,0.21212121
Cc1cccc2c1OCCOCCOCC(N)OCCOCCO2,7.847998,0.21212121
CNCN1CCN(C)CCN(Cc2ccc(C)nc2)CC1,7.8479624,0.41304348
CCNC(C)(C)N(C)C1CCCC(N(C)CC(C)(C)C)C1,7.8478518,0.16981132
CN1CCN(C)CCN(CCC2=NCC(C)(C)O2)CC1,7.847726,0.31914894
C1=COCCOC(NCc2cccc(-c3ccc4c(c3)OCCOCCOCCOCCOCCO4)n2)COCCOCCOCCO1,7.84767,0.33333333
Cc1ccc2c(c1)OCCOCCOC(N)COCCOCCO2,7.8475556,0.30000000
Cc1ccc2c(c1)OCCOCCOCC(N)OCCOCCO2,7.8475556,0.30000000
CN1CCN(C)CCN(CC2CC(N(C)Cc3ccccn3)CN2C)CC1,7.847518,0.48979592
C1=CC2OCCOCCOCCOc3ccccc3OCCOC2C=C1,7.8473945,0.26785714
CCN(Cc1ccccn1)C1CCC(N(C)CCF)CC1,7.8473725,0.48936170
CC(C)N(C)CC1=CC(N2CCN(C)CCN(C)CC2)CN=C1,7.8473315,0.27272727
CC(C)N(C)C1CCCCC1N(C(C)C)C1C=CC=CN1,7.8472714,0.25925926
CCNCC1CCC1(C)C,7.846984,0.12068966
Cc1cccc2c1OCCOCCOCCOCCOCC(N)O2,7.846937,0.20000000
CN1CC=NCC2C=CC=C(CCN(C)CCC1)N2C,7.846849,0.27083333
CC1CNCCN(C)CCN(C)C1,7.8467727,0.34782609
CNCN(Cc1ccccn1)C1CCC(N(C)C(C)C)CC1,7.8467717,0.44897959
CNC1C(N(Cc2ccccn2)Cc2cccc(C3CC4OCCOCCOCCOCCOCCOC43)n2)CCCC1N(Cc1ccccn1)Cc1cccc(C2CC3OCCOCCOCCOCCOCCOC32)n1,7.8466935,0.38095238
CN1CCN(C)CCN(Cc2ccc(CNCF)nc2)CC1,7.8466897,0.41304348
CC1CCC1C,7.8465667,0.14285714
Cc1ccc2c(c1)OCCOCCOCCOCCOCC(N)O2,7.8464985,0.28333333
C1=CNC(N(Cc2cccnn2)C2CCCCC2)C=C1,7.8464174,0.36734694
Cc1ccc2c(c1)OC(N)COCCOCCOCCOCCO2,7.846416,0.28333333
CC(N)C(C)N(Cc1ccccn1)C1CCC(N(C)C(C)C)CC1,7.8464017,0.44897959
CN(Cc1ccc(CF)cn1)C1CCCCC1,7.8463864,0.50000000
CN1CCN(C)CCN(C2CCC(N(C)Cc3ccc(Cl)cn3)CC2)CC1,7.8463817,0.37735849
Cc1cccc2c1OC(N)COCCOCCOCCOCCO2,7.8463793,0.21875000
C1=CC(C23CCC2OCCOCCOCCOCCOCCO3)C=C(CN(Cc2ccccn2)Cc2ccccn2)N1,7.846356,0.42187500
CC(C)N1CCN(C)CCN(Cc2cncc(C3=CC4OCCOC=COCCOCCOCCOC4C=C3)c2)CC1,7.846276,0.26760563
CC(C)Nc1ccc2c(c1)OCCOCCOCCOCCOCCO2,7.846184,0.32727273
CSC1CNC2C=CC=NC2NCCN(C)C1,7.84616,0.18867925
CN(C)Cc1ccc2c(c1)OCCOCCOCCOCCOCCO2,7.8461576,0.32727273
CC(C)N(Cc1cccnn1)C1CCCCC1,7.846143,0.46341463
Cc1ccccc1CN1CCN(C)CCN(C)CC1,7.8460674,0.50000000
CNCN(Cc1ccccn1)C1CCCC(N(C)C(C)C)C1,7.84602,0.45098039
CN1CCCN(C)CCC2C=CC=C(C=NCC1)N2C,7.8459487,0.28260870
Cc1ccc(CN(C)C2CCC(N(C)Cc3cccc(C4CC5OCCOCCOCCOCCOCCOC54)n3)CC2)nc1,7.8458705,0.42372881
CCC(C)C1CCC1C,7.845837,0.14583333
CCN(Cc1ccccn1)C1CCCC(N(C)CCF)C1,7.845748,0.48979592
CN(CCF)CCN(Cc1ccc2c(n1)CCC2)C1CCCCC1,7.845723,0.32258065
Cc1cnccc1CN1CCN(C)CCN(CCN(C)C(C)C)CC1,7.8456635,0.35849057
CC1=CC(C)C(C)(N(Cc2ccccn2)C2CCCCC2)C(C)(C)C1,7.84565,0.43396226
CNCc1ccc(CN(C)C2CCCCC2N(C)Cc2cccc(C34CCC3OCCOCCOCCOCCOCCO4)n2)cn1,7.8456335,0.37142857
CN(CCN(Cc1ccccn1)Cc1cccc2c1OCCOCCOCCOCCOCCO2)Cc1cccc2c1OCCOCCOCCOCCOCCO2,7.8455887,0.47058824
CC1C=CC(C)C(N)C1,7.8452144,0.10638298
CC1C=CC(C)(C)CC1(C)N(Cc1ccccn1)C1CCCCC1,7.845163,0.44230769
CN1CCN(C)CCN(CCC2=NC(C)(C)CO2)CC1,7.845109,0.30952381
COC(=O)N1CCN(C)CCN(C(=O)C(N)C(C)N2CCN(C)CCN(C)CC2)CC1,7.8450756,0.23529412
CCN(Cc1ccccn1)Cc1cccc(C2CC3OCCOCCOCCOCCOCCOC32)n1,7.8450503,0.38000000
CN1CCN(C)CCN(Cc2cccnc2CN(C)Cc2cccc(C3CC4OCCOCCOCCOCCOCCOC43)n2)CC1,7.845036,0.34848485
CN1CC=NCC2=CC=CC(CCN(C)CCC1)N2C,7.8449607,0.28260870
CC(C)N(C)C1CCCCC1N(C)C1=CCC(Cl)C(C)(C)C1C,7.8449235,0.25862069
Cc1ccc2c(c1)OCCOCCOCCOCCOC(C)C(N)O2,7.8448753,0.26984127
CN(CCN)CCN,7.844808,0.20000000
CN1CCN(C)CCN(C2CCCC(N(C)Cc3ccc(Cl)cn3)C2)CC1,7.844727,0.38181818
Cc1ccc2c(c1)OC(N)C(C)OCCOCCOCCOCCO2,7.8447146,0.26984127
CN1CCN(C)CCN(Cc2ccc(N)cc2)CC1,7.844713,0.44736842
CC(C)N1CCN(C)CCN(C(C)c2cncc(CN3CCN(C)CCN(C)CC3)c2)CC1,7.8446507,0.38000000
CN1CCN(C)CCN(Cc2ccnc(NCF)c2)CC1,7.8446426,0.46666667
CC(C)N(C)C(C)(C)N1CCN(C)CCN(C)CC1,7.8445277,0.34782609
CC(NC1=COCCOCCOCCOCCOCCO1)c1cccc(-c2ccc3c(c2)OCCOCCOCCOCCOCCO3)n1,7.8445225,0.29577465
Cc1ccc2c(c1)OCCOCCOCCOCCOC(N)C(C)O2,7.8443866,0.26984127
Cc1cccc2c1OCCOCCOCCOCCOC(C)CO2,7.8442125,0.21875000
CN(C1=CCC=CN1)C1CCCC(N(Cc2cccnn2)C2CCCCC2)C1,7.8442025,0.35714286
CN1CCN(C)CCN(C2CC=C(c3ccc4c(c3)OCCOCCOCCOCCOCCO4)C=N2)CC1,7.8441806,0.36923077
Cc1ccc(CN2CCN(C)CCN(C)CC2)cc1,7.844078,0.50000000
ON(Cc1cccc(-c2ccc3c(c2)OCCOCCOCCOCCOCCO3)n1)C1COCCOCCOCCOC=COCCO1,7.8439827,0.32432432
CN(CNCF)C1CCC(N(C)C2CCCC(N(Cc3cccc(F)n3)Cc3cccnc3F)C2)CC1,7.843886,0.28985507
Cc1ncccc1CN(C)C1CCCCC1,7.843867,0.43181818
CN1CCN(C)CCN(Cc2cnccc2F)CC1,7.843835,0.45238095
CC(C)N(CCN1CCN(C)CCN(CC(C)(C)C)CC1)Cc1cccnc1,7.843754,0.30357143
CC1=CC(CN(Cc2cccnn2)C2CCCCC2)C=CN1,7.8437486,0.35849057
CN1CCN(C)CCN(Cc2cncc(F)c2)CC1,7.843726,0.42857143
Cc1ccnc(CN(C)C2CCCCC2)c1,7.8436837,0.46511628
Cc1ccc2c(c1)OCCOCCOCCOCCOC(C)CO2,7.843563,0.32758621
CN1CCN(C)CCN(Cc2cnccc2CF)CC1,7.8435073,0.42857143
Cc1cccc2c1OCCOCCOC(C)COCCOCCO2,7.8435006,0.23437500
Cc1ccc(CN2CCN(C)CCN(CN(C)C(C)C)CC2)nc1,7.8434396,0.45833333
CCNC1=C(C)C(C)(C)CCC1,7.8430867,0.15254237
CC(C)CN(CCN1CCN(C)CCN(CC(C)(C)C)CC1)Cc1ccccn1,7.8430667,0.47058824
CC(C)N1CCN(C)CCN(C(C)c2cc(CN3CCN(C)CCN(C)CC3)ccn2)CC1,7.8430367,0.45833333
CN1CCN(C)CCN(Cc2cncc(CF)c2)CC1,7.8429656,0.40476190
CN1CCN(C)CCN(CCN(C)C(C)(C)c2ccccn2)CC1,7.8429074,0.48837209
Cc1cccnc1CN(C)C1CCCCC1,7.842891,0.43181818
Cc1ccc2c(c1)OCCOCCOCC(C)OCCOCCO2,7.8428617,0.32758621
COC(=O)C(=O)N1CCN(C)CCN(C(=O)C(C)N2CCN(C)CCN(C(=O)C(C)N3CCN(C)CCN(C(C)C)CC3)CC2)CC1,7.8428183,0.22857143
CNC1OCCOCCOCCOCCOCCOC1N(Cc1nc(C)c(C)c(C)c1C)C1C=CC=CN1,7.842771,0.20833333
CC(C)N(C)C1CCCCC1N(C)CCN(C)C(C)(C)c1ccccn1,7.8427653,0.45098039
Cc1ccc2c(c1)OC(C)COCCOCCOCCOCCO2,7.8426704,0.28813559
Cc1ccc2c(c1)OCCOCCOCCOCCOCC(C)O2,7.842609,0.28813559
C1=CNC(CN(Cc2ccccn2)Cc2ccccn2)=C(C2CC3OCCOCCOCCOCCOCCOC32)C1,7.8425546,0.42622951
Cc1cccnc1CN1CCN(C)CCN(CCCN(C)C)CC1,7.8424134,0.44680851
CC(C)N(C)C1CCC(N(C)Cc2cccnn2)CC1,7.8422956,0.48780488
